frame,y_norm,action,green_area,edge_penalty,death,reward
104,0.68,1,154.5,False,False,0.08
105,0.6483333333333333,1,152.5,False,False,0.08
106,0.6116666666666667,0,155.5,False,False,0.065
107,0.6133333333333333,0,155.5,False,False,0.08
108,0.635,0,156.5,False,False,0.08
109,0.6566666666666666,1,156.5,False,False,0.065
110,0.6333333333333333,1,156.5,False,False,0.08
111,0.59,1,160.0,False,False,0.08
112,0.525,0,166.0,False,False,0.065
113,0.5116666666666667,0,158.0,False,False,0.08
114,0.5133333333333333,0,154.5,False,False,0.08
115,0.5366666666666666,0,153.5,False,False,0.08
116,0.6166666666666667,0,152.5,False,False,0.08
117,0.6333333333333333,0,148.0,False,False,0.08
118,0.7,1,154.0,False,False,0.065
119,0.7033333333333334,1,154.0,False,False,0.08
120,0.6833333333333333,1,160.0,False,False,0.08
121,0.64,1,161.0,False,False,0.08
122,0.575,0,156.5,False,False,0.065
123,0.5616666666666666,0,159.5,False,False,0.08
124,0.565,0,157.5,False,False,0.08
125,0.5883333333333334,0,156.0,False,False,0.08
126,0.6,1,160.0,False,False,0.065
127,0.5733333333333334,1,151.0,False,False,0.08
128,0.525,1,159.0,False,False,0.08
129,0.49666666666666665,1,149.0,False,False,0.08
130,0.48,0,160.5,False,False,0.065
131,0.5183333333333333,0,157.0,False,False,0.08
132,0.5733333333333334,0,164.5,False,False,0.08
133,0.6366666666666667,1,158.5,False,False,0.065
134,0.64,1,162.5,False,False,0.08
135,0.6166666666666667,1,159.5,False,False,0.08
136,0.5716666666666667,1,154.0,False,False,0.08
137,0.51,1,157.0,False,False,0.08
138,0.42,0,154.5,False,False,0.065
139,0.3983333333333333,0,161.0,False,False,0.08
140,0.39166666666666666,0,155.5,False,False,0.08
141,0.4066666666666667,0,180.5,False,False,0.08
142,0.43666666666666665,0,161.0,False,False,0.08
143,0.485,0,161.0,False,False,0.08
144,0.5516666666666666,0,159.5,False,False,0.08
145,0.6283333333333333,0,156.0,False,False,0.08
146,0.59,1,157.0,False,False,0.065
147,0.5383333333333333,1,161.0,False,False,0.08
148,0.4683333333333333,1,156.5,False,False,0.08
149,0.41333333333333333,0,148.5,False,False,0.065
150,0.385,0,154.5,False,False,0.08
151,0.41333333333333333,0,151.5,False,False,0.08
152,0.46,0,159.5,False,False,0.08
153,0.51,1,157.0,False,False,0.065
154,0.505,1,152.0,False,False,0.08
155,0.475,1,153.5,False,False,0.08
156,0.425,1,162.0,False,False,0.08
157,0.5,0,0.0,False,False,0.0
158,0.395,0,157.5,False,False,0.08
159,0.43,0,161.5,False,False,0.08
160,0.4633333333333333,1,162.5,False,False,0.065
